ImageView_0,ImageView_90,ImageView_180,ImageView_270,ImageView_Aufsicht,ImageView_Untersicht,BB,BK,BWH1,BWH2,BANR1,BANR2,NRVNR1,NRVNR2,NRVNR3,NRVNR4,MotorSize
Middle_Motors\view_0\images\mittel_BB1_num_1.jpg,Middle_Motors\view_90\images\mittel_BB1_num_2.jpg,Middle_Motors\view_180\images\mittel_BB1_num_3.jpg,Middle_Motors\view_270\images\mittel_BB1_num_4.jpg,Middle_Motors\view_top\images\mittel_BB1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB1_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB2_num_1.jpg,Middle_Motors\view_90\images\mittel_BB2_num_2.jpg,Middle_Motors\view_180\images\mittel_BB2_num_3.jpg,Middle_Motors\view_270\images\mittel_BB2_num_4.jpg,Middle_Motors\view_top\images\mittel_BB2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB2_num_6.jpg,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB3_num_1.jpg,Middle_Motors\view_90\images\mittel_BB3_num_2.jpg,Middle_Motors\view_180\images\mittel_BB3_num_3.jpg,Middle_Motors\view_270\images\mittel_BB3_num_4.jpg,Middle_Motors\view_top\images\mittel_BB3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB3_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB4_num_1.jpg,Middle_Motors\view_90\images\mittel_BB4_num_2.jpg,Middle_Motors\view_180\images\mittel_BB4_num_3.jpg,Middle_Motors\view_270\images\mittel_BB4_num_4.jpg,Middle_Motors\view_top\images\mittel_BB4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB4_num_6.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB5_num_1.jpg,Middle_Motors\view_90\images\mittel_BB5_num_2.jpg,Middle_Motors\view_180\images\mittel_BB5_num_3.jpg,Middle_Motors\view_270\images\mittel_BB5_num_4.jpg,Middle_Motors\view_top\images\mittel_BB5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB5_num_6.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB6_num_1.jpg,Middle_Motors\view_90\images\mittel_BB6_num_2.jpg,Middle_Motors\view_180\images\mittel_BB6_num_3.jpg,Middle_Motors\view_270\images\mittel_BB6_num_4.jpg,Middle_Motors\view_top\images\mittel_BB6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB6_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB7_num_1.jpg,Middle_Motors\view_90\images\mittel_BB7_num_2.jpg,Middle_Motors\view_180\images\mittel_BB7_num_3.jpg,Middle_Motors\view_270\images\mittel_BB7_num_4.jpg,Middle_Motors\view_top\images\mittel_BB7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB7_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB8_num_1.jpg,Middle_Motors\view_90\images\mittel_BB8_num_2.jpg,Middle_Motors\view_180\images\mittel_BB8_num_3.jpg,Middle_Motors\view_270\images\mittel_BB8_num_4.jpg,Middle_Motors\view_top\images\mittel_BB8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB9_num_1.jpg,Middle_Motors\view_90\images\mittel_BB9_num_2.jpg,Middle_Motors\view_180\images\mittel_BB9_num_3.jpg,Middle_Motors\view_270\images\mittel_BB9_num_4.jpg,Middle_Motors\view_top\images\mittel_BB9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB9_num_6.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB10_num_1.jpg,Middle_Motors\view_90\images\mittel_BB10_num_2.jpg,Middle_Motors\view_180\images\mittel_BB10_num_3.jpg,Middle_Motors\view_270\images\mittel_BB10_num_4.jpg,Middle_Motors\view_top\images\mittel_BB10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB10_num_6.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
